date,iso,region,city,place_type,cases,deaths
2020-04-06,PE-HUV,Huancavelica,,departamento,1,1
2020-04-26,PE-HUV,Huancavelica,,departamento,40,1
2020-04-27,PE-HUV,Huancavelica,,departamento,48,1
2020-04-28,PE-HUV,Huancavelica,,departamento,57,1
2020-04-29,PE-HUV,Huancavelica,,departamento,57,1
2020-05-03,PE-HUV,Huancavelica,,departamento,186,1
2020-05-04,PE-HUV,Huancavelica,,departamento,199,1
2020-05-05,PE-HUV,Huancavelica,,departamento,203,1
2020-05-06,PE-HUV,Huancavelica,,departamento,203,1
2020-05-07,PE-HUV,Huancavelica,,departamento,176,1
2020-05-08,PE-HUV,Huancavelica,,departamento,178,1
2020-05-09,PE-HUV,Huancavelica,,departamento,178,1
2020-05-10,PE-HUV,Huancavelica,,departamento,193,1
2020-05-11,PE-HUV,Huancavelica,,departamento,200,1
2020-05-12,PE-HUV,Huancavelica,,departamento,203,1
2020-05-13,PE-HUV,Huancavelica,,departamento,214,1
2020-05-14,PE-HUV,Huancavelica,,departamento,214,1
2020-05-15,PE-HUV,Huancavelica,,departamento,225,1
2020-05-16,PE-HUV,Huancavelica,,departamento,229,1
2020-05-17,PE-HUV,Huancavelica,,departamento,229,1
2020-05-18,PE-HUV,Huancavelica,,departamento,242,1
2020-05-19,PE-HUV,Huancavelica,,departamento,245,1
2020-05-20,PE-HUV,Huancavelica,,departamento,245,1
2020-05-21,PE-HUV,Huancavelica,,departamento,260,1
2020-05-22,PE-HUV,Huancavelica,,departamento,277,1
2020-05-23,PE-HUV,Huancavelica,,departamento,289,1
2020-05-24,PE-HUV,Huancavelica,,departamento,345,1
2020-05-25,PE-HUV,Huancavelica,,departamento,345,1
2020-05-26,PE-HUV,Huancavelica,,departamento,360,1
2020-05-27,PE-HUV,Huancavelica,,departamento,360,1
2020-05-28,PE-HUV,Huancavelica,,departamento,379,1
2020-05-29,PE-HUV,Huancavelica,,departamento,383,1
2020-05-30,PE-HUV,Huancavelica,,departamento,430,1
2020-05-31,PE-HUV,Huancavelica,,departamento,430,1
2020-06-01,PE-HUV,Huancavelica,,departamento,436,1
2020-06-02,PE-HUV,Huancavelica,,departamento,449,1
2020-06-03,PE-HUV,Huancavelica,,departamento,455,1
